,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
0,Flamengo,1.6137736283253963,1.4799479757059546,1.2931631373959376,1.6971649443230263
1,Botafogo,1.9359651855651914,0.6872878470540243,1.016011896452403,1.525708136174456
2,Corinthians,1.321718560468191,1.106575477777691,0.8927719162278439,1.2841859112531175
3,Bahia,1.635554874554843,1.1335312301543838,1.2223603471492612,1.0714890658973144
4,Fluminense,1.2716234838641864,0.8977382528647944,1.3512066878953057,1.9409232442458588
5,Vasco,1.2993449288391732,0.9723305546589168,0.8208014713923774,1.4716987071688774
6,Palmeiras,2.4359888553612272,0.9115802612646815,0.9668152961760368,1.1678028650375072
7,São Paulo,1.631514517662944,1.140621482718883,1.0969314817854472,1.228598669499008
8,Santos,1.098408952102903,1.2774142979543046,0.7574366873337376,1.5522493121654026
9,Bragantino,1.4299883005067837,0.9834721691307748,1.0625137482258806,1.6937816655540616
10,Atlético-MG,1.6150850458766777,0.739708607933512,0.9374611129405505,1.1050538428667749
11,Cruzeiro,1.709309689135658,0.9166862904414195,1.5020939254342063,1.206703086443405
12,Grêmio,1.5285116593427894,1.5798058364578573,1.1868083698221095,1.79553903993847
13,Internacional,1.3624206035387398,1.3947799606489895,1.0867174502114156,1.4270493196002487
14,Goiás,1.1602167846148743,1.2233155114588143,1.2315744314187065,1.782308618296587
15,Athletico-PR,1.352509150794462,0.9629437530939852,0.9739843053240034,1.4676610608336411
16,Coritiba,1.1878346263061743,1.2255827008332179,0.69884473477635,1.64742130315827
17,América-MG,1.4218086177426157,1.1993267905614837,1.2373382035429181,1.7352828378460818
18,Fortaleza,1.6530224565392242,1.0398349189661085,1.514649203622277,1.5267728442180466
19,Cuiabá,1.0480574198275436,0.8756010426564309,1.0814001028820328,1.6373949830463894
