,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,76.08366071428573,1,88.70875000000002,1,63.45857142857143,3
1,Flamengo,69.74491071428571,2,85.42857142857143,2,54.06125,8
2,Bragantino,64.99633928571428,3,77.67125,3,52.32142857142857,9
3,Palmeiras,63.47928571428571,4,59.05857142857143,11,67.89999999999999,2
4,Cruzeiro,63.42732142857143,5,52.5875,16,74.26714285714286,1
5,Athletico-PR,61.17937500000001,6,77.09875000000001,4,45.26,16
6,Fortaleza,61.15410714285714,7,64.1425,8,58.16571428571428,6
7,São Paulo,60.97535714285715,8,72.875,5,49.07571428571429,10
8,Fluminense,60.48508928571428,9,62.178749999999994,9,58.79142857142857,5
9,Grêmio,58.94395833333333,10,71.91624999999999,6,45.97166666666667,15
10,Atlético-MG,57.228660714285716,11,54.26857142857143,13,60.188750000000006,4
11,Santos,56.46223214285715,12,65.52875,7,47.395714285714284,11
12,Internacional,53.62455357142858,13,60.85285714285716,10,46.396249999999995,13
13,Cuiabá,51.92375,14,48.269999999999996,18,55.5775,7
14,Bahia,50.76883928571429,15,55.391428571428584,12,46.146249999999995,14
15,Coritiba,49.11616071428571,16,51.098571428571425,17,47.13374999999999,12
16,Corinthians,48.88708333333334,17,53.68166666666667,15,44.0925,18
17,Goiás,47.769553571428574,18,54.082857142857144,14,41.45625,20
18,América-MG,43.95,19,43.42285714285715,19,44.47714285714286,17
19,Vasco,42.82142857142857,20,42.51714285714285,20,43.12571428571429,19
