,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Fluminense,14.0,Internacional,1.361955265326006,1.0688222152925035,43.09,29.42,27.5,25.23,16.93,8.97,34.2,25.9,60.1
1,Santos,14.0,Goiás,1.482537875609761,1.1379136930904175,45.32,28.43,26.24,24.84,15.33,7.54,32.38,22.87,55.25
2,Atlético-MG,14.0,Corinthians,1.522598662605299,1.238235479113277,44.04,31.08,24.88,22.6,15.64,6.12,28.720000000000002,21.76,50.480000000000004
3,Cuiabá,14.0,Bahia,1.2749255294497732,1.2403287168392452,37.59,35.99,26.42,20.94,19.64,7.75,28.69,27.39,56.08
4,Grêmio,14.0,Botafogo,1.7899475519148664,1.2864489109327908,49.14,27.44,23.42,23.0,11.83,4.82,27.82,16.65,44.47
5,Fortaleza,14.0,Athletico-PR,1.4958467564087128,1.299644644555326,42.3,33.57,24.12,21.66,16.84,5.85,27.509999999999998,22.689999999999998,50.199999999999996
6,Vasco,14.0,Cruzeiro,1.2926646658073517,1.3781059434620584,35.03,39.45,25.52,18.18,20.47,6.84,25.02,27.31,52.33
7,Coritiba,14.0,América-MG,1.5187649945442163,1.3037069810686361,42.38,32.04,25.59,20.97,16.03,6.08,27.049999999999997,22.11,49.16
8,Bragantino,14.0,São Paulo,1.4941367352948833,1.407574254358658,39.83,35.52,24.65,19.22,16.75,5.61,24.83,22.36,47.19
9,Palmeiras,14.0,Flamengo,1.8949802356808731,1.6661184103253657,43.74,34.49,21.77,15.9,12.33,2.69,18.59,15.02,33.61
