,clube,xG_total,xGA_total,xG_saldo
0,Atlético-MG,4.621561493667374,1.85107607462063,2.7704854190467443
1,Fortaleza,6.85931963518863,4.3067724564048415,2.5525471787837883
2,Palmeiras,4.612797090286576,2.539802081868074,2.072995008418502
3,Flamengo,5.710171873289011,3.9934510965938594,1.7167207766951513
4,Cruzeiro,4.170752019962647,3.018168692662986,1.152583327299661
5,Bahia,4.048005232469746,3.143936337109306,0.9040688953604405
6,Goiás,3.901025927790844,3.4916584606972583,0.4093674670935856
7,Santos,4.137562526106111,4.031377703932106,0.10618482217400427
8,América-MG,4.912388018132163,4.964159998388893,-0.05177198025672958
9,Internacional,4.716961811329399,4.984556196537998,-0.26759438520859913
10,Coritiba,4.215865837413321,4.59810330970101,-0.3822374722876889
11,Cuiabá,3.292191363045765,3.700445154390498,-0.40825379134473305
12,São Paulo,4.367209054460275,4.861553664185043,-0.49434460972476746
13,Bragantino,3.235481086431294,3.747417751783673,-0.5119366653523789
14,Fluminense,4.588562576683826,5.380223147541806,-0.7916605708579807
15,Athletico-PR,2.8739949396500974,3.7129448646864622,-0.8389499250363648
16,Grêmio,4.100943239504295,5.33387984308398,-1.2329366035796854
17,Vasco,3.084615912831194,4.4979678336061735,-1.4133519207749794
18,Corinthians,2.0503848452173905,3.8481955760767006,-1.79781073085931
19,Botafogo,2.8423127470088803,6.336416986597541,-3.494104239588661
