,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.6,0.8,1.6666666666666667,1.6666666666666667
1,Botafogo,2.0,0.2,2.0,1.6666666666666667
2,Corinthians,1.25,0.75,0.25,2.0
3,Bahia,1.5,1.75,0.75,1.75
4,Fluminense,1.6666666666666667,0.3333333333333333,1.4,1.4
5,Vasco,0.6666666666666666,1.6666666666666667,1.0,1.4
6,Palmeiras,2.5,1.0,1.75,0.75
7,São Paulo,2.25,0.5,0.75,1.0
8,Santos,1.5,0.5,0.5,1.25
9,Bragantino,1.6,1.2,1.6666666666666667,1.6666666666666667
10,Atlético-MG,1.5,1.0,1.5,0.75
11,Cruzeiro,0.75,1.0,2.25,0.5
12,Grêmio,1.75,1.0,1.25,1.75
13,Internacional,1.25,0.75,0.5,2.0
14,Goiás,1.6666666666666667,2.0,0.4,1.6
15,Athletico-PR,1.75,1.25,0.75,1.5
16,Coritiba,0.75,1.75,1.0,2.25
17,América-MG,0.5,2.0,1.0,2.5
18,Fortaleza,1.75,0.75,1.0,0.5
19,Cuiabá,0.75,2.0,1.0,1.5
