,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.6,0.8,2.25,1.5
1,Botafogo,2.0,0.2,1.5,1.5
2,Corinthians,1.25,0.75,0.2,2.0
3,Bahia,1.5,1.75,0.6,1.4
4,Fluminense,1.75,0.5,1.4,1.4
5,Vasco,0.75,2.25,1.0,1.4
6,Palmeiras,2.6,1.0,1.75,0.75
7,São Paulo,2.5,0.75,0.8,1.2
8,Santos,1.4,0.6,0.5,1.25
9,Bragantino,1.6,1.2,1.5,1.75
10,Atlético-MG,1.5,1.0,1.4,0.6
11,Cruzeiro,0.6,1.0,2.25,0.5
12,Grêmio,1.8,1.0,1.25,1.75
13,Internacional,1.25,0.75,0.6,1.8
14,Goiás,1.25,1.75,0.6,1.8
15,Athletico-PR,1.6,1.0,0.75,1.5
16,Coritiba,0.75,1.75,1.0,2.4
17,América-MG,0.8,1.6,1.0,2.5
18,Fortaleza,1.4,0.6,1.0,0.5
19,Cuiabá,0.75,2.0,1.0,1.2
