,clube,ranking_clube,fase
0,Botafogo,1,100.0
1,Bragantino,6,73.33
2,Internacional,10,66.67
3,Flamengo,2,66.67
4,Fortaleza,7,60.0
5,Grêmio,3,60.0
6,Fluminense,4,53.33
7,Cruzeiro,9,53.33
8,São Paulo,8,46.67
9,Coritiba,18,46.67
10,Corinthians,15,46.67
11,Cuiabá,14,33.33
12,Palmeiras,5,33.33
13,Bahia,16,33.33
14,Athletico-PR,11,33.33
15,Goiás,17,26.67
16,Santos,13,26.67
17,Atlético-MG,12,20.0
18,Vasco,19,20.0
19,América-MG,20,13.33
