,clube,xGA_geral
0,Palmeiras,0.9400495695148121
1,Bahia,1.0174229367092757
2,Cruzeiro,1.0567943150695291
3,Atlético-MG,1.0668710879582446
4,Athletico-PR,1.1530732435677895
5,Flamengo,1.2111572331476141
6,Santos,1.2121248862227056
7,Goiás,1.226788054374533
8,Bragantino,1.2895385411657243
9,Fortaleza,1.347302812490335
10,Cuiabá,1.3543908166792982
11,Corinthians,1.3560022568145047
12,Fluminense,1.4449116196998308
13,Internacional,1.4476731104580156
14,São Paulo,1.503292427433306
15,América-MG,1.5164040120396538
16,Coritiba,1.521043282995554
17,Vasco,1.663763190764525
18,Botafogo,1.689970807431628
19,Grêmio,2.011551641201339
