,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,6.0,Bahia,Flamengo,28.151682784659474,30.19174661736666,42.63272965237673,17.48287144851553,26.527448972490284
1,6.0,Fluminense,Cuiabá,33.794444444444444,20.214271229404307,13.691300390117036,11.38,5.92
2,6.0,Palmeiras,Bragantino,58.483654515217324,22.389303590302962,20.076948694479686,25.993183585260173,7.819110454775797
3,6.0,Atlético-MG,Internacional,50.418068414643564,28.426650246113464,22.18660932422912,38.597983124222374,16.84631049017272
4,6.0,Vasco,Santos,46.17196898829235,32.31891934431844,22.515149595399052,43.153111543669105,23.361516045294387
5,6.0,Corinthians,São Paulo,26.91963485502281,30.285028764029544,43.80128907885476,22.310613660915287,46.209226424381924
6,6.0,Grêmio,Fortaleza,28.682137410652633,27.178799593309588,45.1409449073192,12.269766260672721,28.208249014673626
7,6.0,Goiás,Botafogo,27.33816711170601,24.591777699674225,49.080681319632895,16.352682049523178,39.619026551456926
8,6.0,Athletico-PR,Coritiba,56.028163503685676,27.871928712542395,17.140682810341733,55.65680375406144,15.609340812099658
9,6.0,América-MG,Cruzeiro,28.407703716203432,28.744657926835682,43.84758023823533,16.90940242961493,30.44463577206878
