,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,33,22,7,15,12,1
1,Grêmio,26,24,18,6,12,2
2,Flamengo,25,26,17,9,12,3
3,Palmeiras,23,24,12,12,7,4
4,Bragantino,23,22,14,8,10,5
5,Fluminense,21,19,14,5,8,6
6,São Paulo,21,18,13,5,6,7
7,Internacional,21,13,14,-1,11,8
8,Atlético-MG,20,18,13,5,6,9
9,Fortaleza,20,15,11,4,7,10
10,Athletico-PR,20,18,17,1,8,11
11,Cruzeiro,18,15,11,4,5,12
12,Cuiabá,15,12,16,-4,7,13
13,Santos,13,11,16,-5,2,14
14,Corinthians,12,11,17,-6,4,15
15,Bahia,12,14,20,-6,5,16
16,Goiás,11,11,22,-11,4,17
17,Vasco,9,11,22,-11,3,18
18,América-MG,9,15,29,-14,5,19
19,Coritiba,7,11,27,-16,4,20
