,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,84042,Tiquinho Soares,263,3.3603668215190687,29,7,8,0.4800524030741527,1.1428571428571428,0.11587471798341617,3.625,Botafogo,4.639633178480931
1,115959,Endrick,275,1.316116796261193,10,6,4,0.2193527993768655,0.6666666666666666,0.1316116796261193,2.5,Palmeiras,2.683883203738807
2,70360,Eduardo Sasha,280,1.429061425010554,12,9,4,0.15878460277895046,0.4444444444444444,0.11908845208421283,3.0,Bragantino,2.5709385749894462
3,94583,Pedro,262,1.4421366423500859,11,7,4,0.20601952033572654,0.5714285714285714,0.1311033311227351,2.75,Flamengo,2.5578633576499143
4,117314,Thiago Borbas,280,1.5490534247452201,10,6,4,0.25817557079087,0.6666666666666666,0.154905342474522,2.5,Bragantino,2.45094657525478
5,104502,Christian,293,0.5719086966886485,9,7,3,0.08170124238409264,0.42857142857142855,0.06354541074318316,3.0,Athletico-PR,2.4280913033113514
6,113359,Pablo Maia,276,0.6139398834472332,14,7,3,0.08770569763531902,0.42857142857142855,0.04385284881765951,4.666666666666667,São Paulo,2.386060116552767
7,39148,Hulk,282,2.6711692920074315,32,9,5,0.2967965880008257,0.5555555555555556,0.08347404037523223,6.4,Atlético-MG,2.3288307079925685
8,62977,Ganso,266,0.7895442173747984,8,5,3,0.15790884347495968,0.6,0.0986930271718498,2.6666666666666665,Fluminense,2.2104557826252016
9,88393,Ayrton Lucas,262,0.9850451038755691,9,7,3,0.1407207291250813,0.42857142857142855,0.10944945598617434,3.0,Flamengo,2.014954896124431
10,84817,Robson,294,1.0173438848416643,8,5,3,0.20346877696833285,0.6,0.12716798560520803,2.6666666666666665,Coritiba,1.9826561151583357
11,72532,Maguinho,290,1.0194721607669581,10,5,3,0.20389443215339162,0.6,0.10194721607669581,3.3333333333333335,Goiás,1.9805278392330419
12,93478,Wanderson,285,1.084456112724028,7,6,3,0.18074268545400465,0.5,0.1549223018177183,2.3333333333333335,Internacional,1.915543887275972
13,94509,Raphael Veiga,275,2.130551274666694,25,6,4,0.35509187911111567,0.6666666666666666,0.08522205098666776,6.25,Palmeiras,1.869448725333306
14,114802,Vitor Roque,293,2.2662577567864264,18,8,4,0.2832822195983033,0.5,0.125903208710357,4.5,Athletico-PR,1.7337422432135736
15,91706,Marlon,283,0.3282289540545866,6,4,2,0.08205723851364664,0.5,0.05470482567576443,3.0,Cruzeiro,1.6717710459454134
16,94968,Juninho Capixaba,280,0.4434521621429117,7,6,2,0.07390869369048529,0.3333333333333333,0.06335030887755881,3.5,Bragantino,1.5565478378570883
17,83528,Léo Pereira,262,0.45748761379553,4,3,2,0.15249587126517666,0.6666666666666666,0.1143719034488825,2.0,Flamengo,1.54251238620447
18,42116,Willian,293,0.5211479638974353,3,3,2,0.17371598796581178,0.6666666666666666,0.17371598796581178,1.5,Athletico-PR,1.4788520361025648
19,110415,Ângelo,277,0.6140280038466722,6,4,2,0.15350700096166806,0.5,0.10233800064111204,3.0,Santos,1.385971996153328
20,106002,Johnny,285,0.684810404564463,5,3,2,0.22827013485482098,0.6666666666666666,0.13696208091289258,2.5,Internacional,1.315189595435537
21,89256,Gerson,262,0.7183769953510718,6,2,2,0.3591884976755359,1.0,0.11972949922517863,3.0,Flamengo,1.281623004648928
22,96340,Lima,266,1.749798915477587,17,7,3,0.2499712736396553,0.42857142857142855,0.10292934796926982,5.666666666666667,Fluminense,1.250201084522413
23,68708,Eduardo,263,0.7630548926742503,5,4,2,0.19076372316856258,0.5,0.15261097853485006,2.5,Botafogo,1.2369451073257496
24,95799,Artur,275,2.7776987071407797,23,9,4,0.30863318968230885,0.4444444444444444,0.12076950900612085,5.75,Palmeiras,1.2223012928592203
25,79188,Silvio Romero,356,0.7970319961393422,4,4,2,0.19925799903483554,0.5,0.19925799903483554,2.0,Fortaleza,1.2029680038606578
26,91708,Nino,266,0.8218367320895582,9,7,2,0.11740524744136546,0.2857142857142857,0.09131519245439536,4.5,Fluminense,1.178163267910442
27,89898,Róger Guedes,264,2.8342776808019563,33,9,4,0.31491974231132847,0.4444444444444444,0.08588720244854413,8.25,Corinthians,1.1657223191980437
28,90031,Mendoza,277,0.8711251170324668,7,4,2,0.2177812792581167,0.5,0.1244464452903524,3.5,Santos,1.1288748829675332
29,105811,Wesley,283,1.9357028557752263,17,7,3,0.27652897939646087,0.42857142857142855,0.11386487386913095,5.666666666666667,Cruzeiro,1.0642971442247737
30,72142,Danilo Avelar,327,0.9561560004126937,8,3,2,0.3187186668042312,0.6666666666666666,0.11951950005158671,4.0,América-MG,1.0438439995873063
31,86388,Alê,327,0.9927386772746967,10,2,2,0.49636933863734833,1.0,0.09927386772746967,5.0,América-MG,1.0072613227253033
32,89918,Everton Galdino,284,0.9954050523523327,7,6,2,0.1659008420587221,0.3333333333333333,0.14220072176461895,3.5,Grêmio,1.0045949476476674
33,105647,Maurício,285,0.9972128840041856,7,4,2,0.2493032210010464,0.5,0.14245898342916938,3.5,Internacional,1.0027871159958144
34,84339,Bruno Melo,290,0.9976637487194492,11,8,2,0.12470796858993115,0.25,0.09069670442904083,5.5,Goiás,1.0023362512805507
35,89273,João Pedro,284,0.04403660017493347,2,2,1,0.022018300087466736,0.5,0.022018300087466736,2.0,Grêmio,0.9559633998250665
36,95556,Raniele,1371,1.0823267681052176,12,6,2,0.18038779468420293,0.3333333333333333,0.09019389734210147,6.0,Cuiabá,0.9176732318947824
37,86777,Danilo Barbosa,263,0.0884348113999402,2,2,1,0.0442174056999701,0.5,0.0442174056999701,2.0,Botafogo,0.9115651886000598
38,124251,Deivid Washington,277,1.1018858537474092,12,3,2,0.36729528458246974,0.6666666666666666,0.09182382114561743,6.0,Santos,0.8981141462525908
39,97653,Murilo,275,0.10515404115547416,1,1,1,0.10515404115547416,1.0,0.10515404115547416,1.0,Palmeiras,0.8948459588445259
40,78117,Everaldo,265,1.1133489448871732,9,7,2,0.15904984926959617,0.2857142857142857,0.12370543832079701,4.5,Bahia,0.8866510551128268
41,91908,Pavón,282,1.1137480118135548,13,8,2,0.13921850147669435,0.25,0.08567292398565805,6.5,Atlético-MG,0.8862519881864452
42,91607,Rony,275,1.1647489131799282,10,5,2,0.23294978263598565,0.4,0.11647489131799282,5.0,Palmeiras,0.8352510868200718
43,62969,Alan,266,0.1706023374843717,1,1,1,0.1706023374843717,1.0,0.1706023374843717,1.0,Fluminense,0.8293976625156283
44,90309,David,276,0.19136294781770008,2,2,1,0.09568147390885004,0.5,0.09568147390885004,2.0,São Paulo,0.8086370521822999
45,104666,Moisés,356,2.1990127455874595,16,6,3,0.36650212426457657,0.5,0.13743829659921622,5.333333333333333,Fortaleza,0.8009872544125405
46,94514,Oliveira,283,0.20212508136955523,3,3,1,0.06737502712318508,0.3333333333333333,0.06737502712318508,3.0,Cruzeiro,0.7978749186304448
