,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,82.63166666666667,1,78.97666666666666,3,44.598,15
1,Botafogo,73.47,2,85.67166666666668,1,59.595,5
2,Flamengo,70.50333333333333,3,83.00833333333334,2,55.791666666666664,8
3,Grêmio,65.21333333333332,4,74.14,5,43.42399999999999,16
4,Athletico-PR,61.64166666666666,5,75.61333333333333,4,48.85833333333333,12
5,Palmeiras,58.078333333333326,6,62.538333333333334,8,69.27833333333332,2
6,Cuiabá,57.24166666666667,7,40.674,20,54.42666666666667,9
7,Internacional,57.031666666666666,8,60.122,11,49.135,11
8,Fortaleza,56.41,9,65.975,7,63.315,4
9,Bahia,55.656666666666666,10,57.86000000000001,13,52.29333333333333,10
10,Corinthians,51.82500000000001,11,56.148,14,37.87833333333334,20
11,Santos,51.653333333333336,12,61.495,9,57.71400000000001,6
12,São Paulo,48.86333333333334,13,67.76,6,45.32833333333334,13
13,Atlético-MG,48.70166666666666,14,59.91799999999999,12,57.196666666666665,7
14,Goiás,47.14666666666667,15,52.458000000000006,15,43.056666666666665,17
15,Fluminense,46.135,16,60.211666666666666,10,64.22666666666667,3
16,Cruzeiro,45.475,17,42.51500000000001,19,81.62800000000001,1
17,América-MG,44.349999999999994,18,45.405,17,40.974000000000004,18
18,Coritiba,42.78,19,47.50333333333333,16,38.55166666666667,19
19,Vasco,42.53,20,43.94833333333333,18,44.85833333333334,14
