,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Flamengo,72.27291666666667,1,83.00833333333334,2,61.5375,5
1,Palmeiras,71.70499999999998,2,68.80599999999998,8,74.604,2
2,Botafogo,69.99083333333334,3,85.67166666666667,1,54.31,9
3,Santos,66.475,4,75.23599999999999,3,57.71400000000001,7
4,Fluminense,65.91083333333333,5,67.59500000000001,9,64.22666666666666,4
5,Cruzeiro,65.635,6,49.642,17,81.628,1
6,Fortaleza,65.494,7,69.78399999999999,7,61.20399999999999,6
7,Atlético-MG,64.274,8,59.918000000000006,12,68.63000000000001,3
8,São Paulo,61.82900000000001,9,72.974,5,50.684000000000005,11
9,Athletico-PR,60.87100000000001,10,73.34400000000001,4,48.398,12
10,Grêmio,57.227000000000004,11,71.03,6,43.424,16
11,Bragantino,55.0,12,65.402,10,44.598,15
12,Bahia,53.260999999999996,13,55.138,14,51.384,10
13,Internacional,53.144999999999996,14,60.122,11,46.16799999999999,13
14,Cuiabá,48.266666666666666,15,39.415,20,57.11833333333334,8
15,Vasco,44.437916666666666,16,44.0175,19,44.85833333333334,14
16,Coritiba,44.117000000000004,17,51.048,16,37.186,18
17,Corinthians,43.294,18,56.148,13,30.439999999999998,20
18,Goiás,43.116,19,52.458000000000006,15,33.774,19
19,América-MG,42.575833333333335,20,44.89666666666667,18,40.254999999999995,17
