,clube,xGA_geral
0,Atlético-MG,0.9745690871600887
1,Palmeiras,1.0791572212680633
2,Cuiabá,1.113304936668406
3,Cruzeiro,1.1440326882248197
4,Bragantino,1.2089046341249365
5,Bahia,1.2143945334630692
6,Botafogo,1.2208262411307862
7,São Paulo,1.238981055075921
8,Athletico-PR,1.2655399393506377
9,Fortaleza,1.289073906606395
10,Vasco,1.2918115185881551
11,Santos,1.2963481717893997
12,Internacional,1.3177703438974018
13,Corinthians,1.400496703442041
14,Fluminense,1.4159817001526394
15,Coritiba,1.4248900202300856
16,América-MG,1.4604972699108485
17,Goiás,1.4659109819948055
18,Flamengo,1.6069390622295727
19,Grêmio,1.6911913309143998
