,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.75,0.625,1.625,1.625
1,Botafogo,2.0,0.125,1.5,1.0
2,Corinthians,1.2,0.8,0.4444444444444444,1.2222222222222223
3,Bahia,1.25,1.375,0.5,1.5
4,Fluminense,1.5,0.375,1.125,1.5
5,Vasco,0.5,1.625,0.8571428571428571,1.5714285714285714
6,Palmeiras,2.125,1.0,1.375,0.75
7,São Paulo,2.125,0.875,0.625,1.0
8,Santos,1.6666666666666667,1.5555555555555556,0.42857142857142855,1.7142857142857142
9,Bragantino,1.5555555555555556,0.6666666666666666,1.1666666666666667,1.6666666666666667
10,Atlético-MG,1.1428571428571428,1.1428571428571428,0.8888888888888888,0.7777777777777778
11,Cruzeiro,0.3333333333333333,0.7777777777777778,1.7142857142857142,0.5714285714285714
12,Grêmio,1.8888888888888888,1.0,1.1666666666666667,1.8333333333333333
13,Internacional,1.0,0.5714285714285714,0.6666666666666666,1.3333333333333333
14,Goiás,1.1428571428571428,1.5714285714285714,0.8888888888888888,1.6666666666666667
15,Athletico-PR,1.625,0.875,1.0,1.375
16,Coritiba,1.0,1.125,1.0,2.25
17,América-MG,1.0,1.7142857142857142,1.25,2.125
18,Fortaleza,1.25,0.625,0.75,1.125
19,Cuiabá,1.125,1.25,0.875,1.0
