,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,78.97333333333333,1,89.75833333333333,2,53.02333333333333,7
1,Botafogo,74.98,2,92.89,1,63.305,3
2,Flamengo,71.795,3,84.05,3,54.081666666666656,6
3,Grêmio,64.52,4,70.86666666666666,6,45.971666666666664,17
4,Athletico-PR,63.49666666666666,5,71.39333333333333,5,47.93,13
5,Cuiabá,57.913333333333334,6,49.42333333333334,17,54.42666666666667,5
6,Fortaleza,55.02666666666667,7,71.85000000000001,4,49.56666666666666,10
7,Palmeiras,54.405,8,58.22666666666667,11,68.115,2
8,Coritiba,54.38499999999999,9,53.565,15,42.50999999999999,19
9,Goiás,53.74666666666666,10,52.42333333333334,16,46.40333333333333,14
10,Fluminense,52.33666666666667,11,60.48499999999999,9,49.64166666666666,9
11,Bahia,52.02000000000001,12,57.87833333333333,12,46.293333333333344,15
12,América-MG,51.36499999999999,13,45.405,18,46.10833333333333,16
13,Corinthians,51.24333333333334,14,53.68166666666667,14,48.586666666666666,11
14,São Paulo,49.42500000000001,15,65.76,7,48.10999999999999,12
15,Cruzeiro,48.00666666666667,16,42.51500000000001,19,79.31833333333334,1
16,Internacional,47.95499999999999,17,60.028333333333336,10,44.66166666666666,18
17,Atlético-MG,47.60833333333333,18,54.405,13,57.19666666666666,4
18,Santos,44.748333333333335,19,63.495000000000005,8,50.150000000000006,8
19,Vasco,40.421666666666674,20,41.84,20,40.055,20
