,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,72.63333333333334,1,85.67166666666668,1,59.595,6
1,Flamengo,69.39999999999999,2,83.00833333333333,2,55.791666666666664,8
2,Palmeiras,65.90833333333333,3,62.53833333333333,9,69.27833333333332,2
3,Cruzeiro,65.15257142857143,4,48.67714285714286,16,81.62800000000001,1
4,Fortaleza,64.64500000000001,5,65.97500000000001,7,63.315,4
5,Athletico-PR,62.23583333333333,6,75.61333333333333,5,48.85833333333333,12
6,Fluminense,62.219166666666666,7,60.211666666666666,10,64.22666666666666,3
7,Bragantino,61.05685714285714,8,77.51571428571428,3,44.598,15
8,Santos,60.62771428571429,9,63.54142857142857,8,57.71400000000001,7
9,Atlético-MG,59.80971428571428,10,59.91799999999999,12,59.701428571428565,5
10,Grêmio,59.799142857142854,11,76.17428571428572,4,43.424,16
11,São Paulo,56.54416666666667,12,67.76,6,45.32833333333334,13
12,Bahia,55.07666666666667,13,57.86000000000001,13,52.29333333333333,10
13,Internacional,55.02242857142858,14,60.122,11,49.92285714285715,11
14,Cuiabá,47.28628571428571,15,40.67399999999999,20,53.89857142857143,9
15,Corinthians,47.06614285714286,16,56.148,14,37.98428571428571,20
16,Goiás,46.02971428571429,17,52.458000000000006,15,39.60142857142857,18
17,Vasco,44.40333333333333,18,43.94833333333333,18,44.85833333333333,14
18,Coritiba,43.0275,19,47.50333333333333,17,38.55166666666667,19
19,América-MG,42.19842857142857,20,43.42285714285714,19,40.974000000000004,17
