,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1290,Róger Guedes,89898,Corinthians,ATA,11.725000000000001,6.44,Cuiabá,mandante,2.94,7.3325000000000005
1291,Léo Pereira,83528,Flamengo,ZAG,10.78,1.0333333333333334,Grêmio,mandante,3.625,7.2025
1292,Júlio,113295,América-MG,ZAG,9.7,0.0,Athletico-PR,mandante,4.3,7.0
1293,Tiquinho Soares,84042,Botafogo,ATA,9.35,10.625,Fortaleza,mandante,3.75,6.55
1294,Di Placido,98605,Botafogo,LAT,9.08,2.2,Fortaleza,mandante,3.75,6.415
1295,Matheus Nascimento,109114,Botafogo,ATA,8.7,0.0,Fortaleza,mandante,3.75,6.225
1296,Alef Manga,101254,Coritiba,ATA,8.45,5.666666666666667,Santos,mandante,3.75,6.1
1297,Víctor Cuesta,79113,Botafogo,ZAG,8.18,1.6666666666666667,Fortaleza,mandante,3.75,5.965
1298,Luís Castro,88037,Botafogo,TEC,8.112,4.985,Fortaleza,mandante,3.75,5.931
1299,Cantillo,85315,Corinthians,MEI,8.9,0.0,Cuiabá,mandante,2.94,5.92
1300,Ayrton Lucas,88393,Flamengo,LAT,8.2,5.8,Grêmio,mandante,3.625,5.9125
1301,Matheus Cunha,111690,Flamengo,GOL,8.0,1.3333333333333333,Grêmio,mandante,3.625,5.8125
1302,Sander,86391,Goiás,LAT,6.6,2.68,Fluminense,mandante,4.8,5.699999999999999
1303,Marçal,97468,Botafogo,LAT,7.6000000000000005,5.1,Fortaleza,mandante,3.75,5.675000000000001
1304,Hugo,109668,Botafogo,LAT,7.6,6.6,Fortaleza,mandante,3.75,5.675
1305,Natanael,107554,Coritiba,LAT,7.500000000000001,2.5500000000000003,Santos,mandante,3.75,5.625
1306,Maurício,105647,Internacional,MEI,10.049999999999999,1.6333333333333335,Vasco,mandante,1.2,5.624999999999999
1307,Vargas,69102,Atlético-MG,ATA,9.2,0.85,Bragantino,mandante,2.0,5.6
1308,Morelli,99412,Goiás,MEI,6.25,2.466666666666667,Fluminense,mandante,4.8,5.525
1309,Matheus Peixoto,87098,Goiás,ATA,6.2,3.04,Fluminense,mandante,4.8,5.5
1310,Breno,122991,América-MG,MEI,6.5,2.4,Athletico-PR,mandante,4.3,5.4
1311,Benítez,93550,América-MG,MEI,6.4,2.55,Athletico-PR,mandante,4.3,5.35
1312,Victor Sá,108946,Botafogo,ATA,6.925,2.8249999999999997,Fortaleza,mandante,3.75,5.3375
1313,Hulk,39148,Atlético-MG,ATA,8.625000000000002,8.940000000000001,Bragantino,mandante,2.0,5.312500000000001
1314,Aloísio,73850,América-MG,ATA,6.300000000000001,6.35,Athletico-PR,mandante,4.3,5.300000000000001
1315,David,90309,São Paulo,ATA,8.5,0.75,Palmeiras,mandante,2.0,5.25
1316,Eduardo,68708,Botafogo,MEI,6.640000000000001,3.966666666666667,Fortaleza,mandante,3.75,5.195
1317,Jorge Sampaoli,70800,Flamengo,TEC,6.425,5.5875,Grêmio,mandante,3.625,5.025
1318,Calleri,89840,São Paulo,ATA,8.024999999999999,4.9,Palmeiras,mandante,2.0,5.012499999999999
1319,Lucas Perri,91260,Botafogo,GOL,6.2,4.25,Fortaleza,mandante,3.75,4.975
1320,Zé Ricardo,102911,Goiás,MEI,5.125,3.6,Fluminense,mandante,4.8,4.9625
1321,Dorival Júnior,40990,São Paulo,TEC,7.91,4.1375,Palmeiras,mandante,2.0,4.955
1322,Everton Ribeiro,51772,Flamengo,MEI,6.166666666666667,3.8,Grêmio,mandante,3.625,4.895833333333334
1323,Daniel Borges,73318,Botafogo,LAT,5.9,0.0,Fortaleza,mandante,3.75,4.825
1324,Philippe Costa,101684,Goiás,ATA,0.0,-0.05,Fluminense,mandante,4.8,4.8
1325,Mateus Pasinato,87603,América-MG,GOL,5.25,4.25,Athletico-PR,mandante,4.3,4.775
1326,Juan,106831,São Paulo,ATA,7.4,0.46666666666666673,Palmeiras,mandante,2.0,4.7
1327,Julián Palacios,111996,Goiás,MEI,4.5,2.6750000000000003,Fluminense,mandante,4.8,4.65
1328,Fabrício Bruno,90768,Flamengo,ZAG,5.6,1.175,Grêmio,mandante,3.625,4.6125
1329,Arboleda,91573,São Paulo,ZAG,7.2,3.1333333333333333,Palmeiras,mandante,2.0,4.6
1330,John Victor,94044,Internacional,GOL,8.0,4.0,Vasco,mandante,1.2,4.6
1331,Emerson Ávila,50456,Goiás,TEC,4.3549999999999995,2.814,Fluminense,mandante,4.8,4.5775
1332,Santos,69012,Flamengo,GOL,5.5,1.0,Grêmio,mandante,3.625,4.5625
1333,Lucas Beraldo,112136,São Paulo,ZAG,6.975,2.433333333333333,Palmeiras,mandante,2.0,4.4875
1334,Gabriel,83257,Flamengo,ATA,5.325,7.8,Grêmio,mandante,3.625,4.475
1335,Danilo Avelar,72142,América-MG,ZAG,4.633333333333333,3.1333333333333333,Athletico-PR,mandante,4.3,4.466666666666667
1336,Bruno Gomes,106202,Coritiba,MEI,5.15,3.4799999999999995,Santos,mandante,3.75,4.45
1337,Luciano,80287,São Paulo,ATA,6.9,2.7199999999999998,Palmeiras,mandante,2.0,4.45
1338,Renato Marques,117403,América-MG,ATA,4.533333333333334,-0.29999999999999993,Athletico-PR,mandante,4.3,4.416666666666667
1339,Everaldo,91151,América-MG,ATA,4.466666666666666,4.949999999999999,Athletico-PR,mandante,4.3,4.383333333333333
1340,Fagner,42500,Corinthians,LAT,5.775,2.425,Cuiabá,mandante,2.94,4.3575
1341,Philipe Sampaio,87808,Botafogo,ZAG,4.95,1.7,Fortaleza,mandante,3.75,4.35
1342,Pablo Maia,113359,São Paulo,MEI,6.675,1.44,Palmeiras,mandante,2.0,4.3375
1343,Fernando Lázaro,113429,Corinthians,TEC,5.72,0.0,Cuiabá,mandante,2.94,4.33
1344,Thaciano,87470,Bahia,MEI,8.0,5.999999999999999,Cruzeiro,mandante,0.625,4.3125
1345,Arrascaeta,87863,Flamengo,MEI,5.0,6.7,Grêmio,mandante,3.625,4.3125
1346,Nicolas,95127,América-MG,LAT,0.0,-0.6,Athletico-PR,mandante,4.3,4.3
1347,Rodriguinho,115563,América-MG,MEI,0.0,0.0,Athletico-PR,mandante,4.3,4.3
1348,Diego,101027,Goiás,MEI,3.7249999999999996,3.6,Fluminense,mandante,4.8,4.262499999999999
1349,Júnior Santos,101002,Botafogo,ATA,4.74,4.0,Fortaleza,mandante,3.75,4.245
