,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
0,Flamengo,1.4060024816697065,1.4759618601750224,1.1161104604849095,1.5562830291590914
1,Botafogo,1.6150960209469714,0.7331630505163721,0.8834800889489491,1.485349616405402
2,Corinthians,1.2619040402016632,1.0066150727434116,0.7328172935937723,1.4844488859862368
3,Bahia,1.4411181039302825,0.9174225276707318,0.9436927679607069,1.26142941600226
4,Fluminense,1.182109110125218,0.9732467365043667,1.1896673515823681,1.5756788043392058
5,Vasco,1.1995133475787172,0.9392504595774185,0.7961628047574462,1.5301344911197194
6,Palmeiras,1.9014403006851934,0.8274512526150017,0.9672299367841652,1.1855400526469193
7,São Paulo,1.547288872869708,0.9462460531360425,0.9152603201247268,1.3281155703461849
8,Santos,1.0592251445151957,1.0914262330180988,0.7373024429523151,1.462949867272375
9,Bragantino,1.6052315404139341,0.9017248220510559,1.079572278455437,1.384378469843626
10,Atlético-MG,1.5277245357523366,0.8730724074733998,0.9104307158208199,0.8377601016855944
11,Cruzeiro,1.3603290431345032,0.9139006382785221,1.157661306494928,1.2396252996341333
12,Grêmio,1.6254329540521306,1.3646152029720329,1.2345437876453411,1.7410023154231806
13,Internacional,1.1764635033475201,1.2374227034371994,0.8583903717061767,1.322928158241182
14,Goiás,1.1737002827870728,0.9586015873687795,0.934100917835464,1.5417533141630486
15,Athletico-PR,1.7721298315846938,0.914724168251501,1.006679021031704,1.382317069166193
16,Coritiba,1.2014802174972858,1.184382131819162,0.9149553157428068,1.520529743950256
17,América-MG,1.2502265329892748,1.0944780359075197,1.2861687285991603,1.4618440034711502
18,Fortaleza,1.5630476972960823,0.9170341767426667,1.3536680112579578,1.438944105421821
19,Cuiabá,1.0992954748678674,0.6545275821202217,1.0288560720184452,1.481868281357571
