,clube,xGA_geral
0,Atlético-MG,0.7755050284004166
1,Palmeiras,0.9095398371276273
2,Athletico-PR,1.034012524215487
3,Corinthians,1.0949805399828134
4,Cruzeiro,1.1178298611902322
5,Bahia,1.1651354235901912
6,Fortaleza,1.1710503849678418
7,Botafogo,1.2192042713230629
8,São Paulo,1.2796110607302533
9,Santos,1.323381757013589
10,Cuiabá,1.349527226386412
11,Flamengo,1.378397416608422
12,Vasco,1.3799523927613269
13,Bragantino,1.4374227511020843
14,Goiás,1.44800266124576
15,Internacional,1.4833978094408633
16,Fluminense,1.4917332088529431
17,Coritiba,1.5171783072681646
18,América-MG,1.7043194250075544
19,Grêmio,1.9866149507124244
