,clube,xG_mean,xG_total
0,Grêmio,1.645037978964423,19.74045574757308
1,Palmeiras,1.6069737695522208,19.283685234626653
2,Cruzeiro,1.572675676816747,18.872108121800974
3,Bragantino,1.507963878231278,18.09556653877533
4,Fortaleza,1.4955800290562122,17.946960348674533
5,São Paulo,1.3373914080837188,16.04869689700462
6,Athletico-PR,1.3360858775284015,16.03303053034082
7,Flamengo,1.3015624020901913,15.61874882508229
8,Atlético-MG,1.299733987830483,15.596807853965794
9,Fluminense,1.2916288191499128,15.499545829798954
10,Bahia,1.2715185399352713,15.258222479223253
11,Botafogo,1.2619980098323267,15.143976117987918
12,América-MG,1.2381684462312235,14.858021354774678
13,Cuiabá,1.1783018374332492,14.139622049198996
14,Coritiba,1.1672329372654564,14.006795247185478
15,Vasco,1.1181459321866316,13.417751186239578
16,Internacional,1.0775488896709637,12.930586676051565
17,Corinthians,1.0704771486714724,12.845725784057668
18,Goiás,1.023176101640437,12.278113219685244
19,Santos,0.9959239155840596,11.95108698700871
