,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Flamengo,Cruzeiro,50.0,35.97122302158274,17.006802721088434,2.0,2.78,5.88
1,Fortaleza,Vasco,46.08294930875576,37.03703703703704,20.0,2.17,2.7,5.0
2,Cuiabá,Coritiba,40.98360655737705,38.02281368821293,23.980815347721823,2.44,2.63,4.17
3,Athletico-PR,Grêmio,38.02281368821293,38.02281368821293,27.027027027027025,2.63,2.63,3.7
4,Corinthians,Fluminense,32.05128205128205,37.03703703703704,34.01360544217687,3.12,2.7,2.94
5,Bragantino,Santos,45.04504504504504,34.96503496503497,22.98850574712644,2.22,2.86,4.35
6,São Paulo,Goiás,54.94505494505494,34.01360544217687,14.005602240896359,1.82,2.94,7.14
7,Botafogo,América-MG,45.04504504504504,38.02281368821293,20.0,2.22,2.63,5.0
8,Atlético-MG,Palmeiras,35.97122302158274,39.0625,28.011204481792717,2.78,2.56,3.57
9,Internacional,Bahia,42.91845493562232,39.0625,21.008403361344538,2.33,2.56,4.76
