,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Flamengo,Fortaleza,48.07692307692307,35.97122302158274,19.011406844106464,2.08,2.78,5.26
1,São Paulo,Fluminense,42.016806722689076,35.97122302158274,25.0,2.38,2.78,4.0
2,Bahia,Grêmio,34.01360544217687,39.0625,30.03003003003003,2.94,2.56,3.33
3,Internacional,Cruzeiro,40.0,34.96503496503497,28.011204481792717,2.5,2.86,3.57
4,Corinthians,Bragantino,35.97122302158274,35.97122302158274,30.959752321981426,2.78,2.78,3.23
5,Athletico-PR,Palmeiras,28.011204481792717,37.03703703703704,38.02281368821293,3.57,2.7,2.63
6,Botafogo,Vasco,50.0,34.96503496503497,17.98561151079137,2.0,2.86,5.56
7,Atlético-MG,América-MG,52.91005291005292,34.96503496503497,14.992503748125937,1.89,2.86,6.67
8,Cuiabá,Santos,40.98360655737705,35.97122302158274,25.97402597402597,2.44,2.78,3.85
9,Goiás,Coritiba,40.98360655737705,35.97122302158274,25.97402597402597,2.44,2.78,3.85
