,clube,xG_mean,xG_total
0,Grêmio,1.6266268255274297,22.772775557384016
1,Fortaleza,1.6128513628161352,22.579919079425903
2,Palmeiras,1.5006894216547297,21.009651903166226
3,Cruzeiro,1.4413014018432808,20.178219625805927
4,Athletico-PR,1.425887597119656,19.96242635967518
5,Bragantino,1.5252571514263105,19.82834296854204
6,Atlético-MG,1.400616411224249,19.60862975713949
7,Botafogo,1.3413136543999624,18.77839116159947
8,São Paulo,1.3166963887731415,18.433749442823984
9,América-MG,1.3131186404760833,18.38366096666516
10,Flamengo,1.290791181479263,18.071076540709683
11,Bahia,1.2785748670694705,17.90004813897259
12,Fluminense,1.2302061973805973,17.222886763328354
13,Coritiba,1.1881421021389937,16.63398942994592
14,Cuiabá,1.1506551673663155,16.109172343128417
15,Goiás,1.1487543237407465,16.082560532370454
16,Vasco,1.1160337836723344,15.624472971412679
17,Internacional,1.0842490317938565,15.179486445113994
18,Corinthians,1.095297715378993,14.238870299926909
19,Santos,1.0102832214259632,14.143965099963484
