,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,13.0,São Paulo,Fluminense,43.005785290633355,28.791570950203436,29.198647039679027,26.716363054347642,20.04593448880128
1,13.0,Flamengo,Fortaleza,42.02551622859222,28.84189989725537,30.152424791251587,23.29275151391129,21.501009433210825
2,13.0,Bahia,Grêmio,36.1849041060479,29.000010557832937,35.8470631306022,19.22047662287098,19.672848916502225
3,13.0,Internacional,Cruzeiro,34.95093673681973,31.30562739548006,34.73551549209736,28.756808638307668,32.55688547037799
4,13.0,Corinthians,Bragantino,35.421143946664614,28.992606918292875,36.553639142322766,22.704087138591348,26.07512350385566
5,13.0,Botafogo,Vasco,60.84616100078808,23.014694969648943,17.11533240727566,45.6896655599238,10.223597472379364
6,13.0,Atlético-MG,América-MG,59.44992073826623,23.968097510932697,17.53403216613494,33.80005012677486,9.64147851853889
7,13.0,Athletico-PR,Palmeiras,30.810310394969452,30.27120674259922,39.94549535557291,23.13321336619883,29.161572656579366
8,13.0,Cuiabá,Santos,38.23625131281484,34.16636704046002,28.573666817816388,38.47558383925056,34.16311242026121
9,13.0,Goiás,Coritiba,48.832927588937444,28.513788104989445,23.62949207034858,36.03034921630159,16.550684596996682
