,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Flamengo,América-MG,85.77880653802843,8.588604383275412,5.448179734953001,36.98945885369301,2.2875590982488436
1,Palmeiras,Fortaleza,52.28081443220298,29.65665345444067,18.062521657741964,54.11780520271899,28.234918795024242
2,Bahia,Corinthians,34.85607652526882,33.36821770709482,31.775705205880662,42.739938345264484,40.41987044511898
3,Cuiabá,São Paulo,24.93286019145597,31.977951668695546,43.089185937481105,34.00066139355012,47.564641109879496
4,Grêmio,Atlético-MG,46.593773880309165,25.877494168451175,27.528677279207255,33.82726849235646,22.491474856623757
5,Santos,Botafogo,7.548269115109858,19.046063461337912,73.40503733034576,14.357471816300826,64.00621732402823
6,Bragantino,Internacional,58.664600023796844,26.46473140451362,14.870623640939423,55.419979114399375,23.029182666541885
7,Cruzeiro,Goiás,61.26612739901278,25.55301667025417,13.180792521866103,57.84729116076872,21.831472021340772
8,Vasco,Athletico-PR,22.47876623619068,27.21582944678203,50.30537346696078,24.372835636485142,42.970277672531445
9,Coritiba,Fluminense,16.386205736083145,22.68726716969302,60.92621752245715,16.559890739631953,44.64169736735466
