,clube,P
0,Palmeiras,62.49570294264478
1,Athletico-PR,58.08718824536462
2,Flamengo,57.66074538821169
3,Cruzeiro,57.507923107641105
4,São Paulo,56.79834487836575
5,Grêmio,56.15723949934665
6,Internacional,55.408964743497506
7,Botafogo,55.39184554149181
8,Corinthians,55.2528381874062
9,Atlético-MG,55.17318668626581
10,Fluminense,53.19457804754692
11,Santos,52.658934416204346
12,Fortaleza,51.30422513109584
13,Bragantino,50.65265560395188
14,Bahia,46.08866463888421
15,Vasco,45.37666570136503
16,Goiás,43.03302567366826
17,Coritiba,41.249433762727634
18,Cuiabá,38.435127329822514
19,América-MG,27.717353816305792
