,clube,xP,ranking_xp
0,Fortaleza,7.51,1
1,Palmeiras,7.07,2
2,Flamengo,6.840000000000001,3
3,Atlético-MG,6.639999999999999,4
4,Bahia,6.13,5
5,América-MG,5.890000000000001,6
6,Cruzeiro,5.890000000000001,6
7,Fluminense,5.869999999999999,8
8,Bragantino,5.779999999999999,9
9,Internacional,5.55,10
10,Santos,5.49,11
11,Goiás,5.359999999999999,12
12,Cuiabá,5.17,13
13,Botafogo,4.88,14
14,São Paulo,4.76,15
15,Corinthians,4.62,16
16,Coritiba,4.6,17
17,Athletico-PR,4.46,18
18,Grêmio,3.8,19
19,Vasco,3.6399999999999997,20
