,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,15,12,4,8,15,1
1,Palmeiras,13,15,5,10,13,2
2,Fluminense,10,10,5,5,10,3
3,Fortaleza,9,9,4,5,9,4
4,Athletico-PR,9,7,5,2,9,5
5,Cruzeiro,9,7,5,2,9,6
6,São Paulo,8,7,3,4,8,7
7,Santos,7,7,5,2,7,8
8,Atlético-MG,7,7,5,2,7,9
9,Internacional,7,4,6,-2,7,10
10,Grêmio,7,7,9,-2,7,11
11,Flamengo,6,9,7,2,6,12
12,Vasco,6,6,6,0,6,13
13,Bahia,6,6,8,-2,6,14
14,Bragantino,6,8,10,-2,6,15
15,Cuiabá,4,5,10,-5,4,16
16,Corinthians,4,5,10,-5,4,17
17,Goiás,3,3,11,-8,3,18
18,Coritiba,2,3,11,-8,2,19
19,América-MG,1,5,13,-8,1,20
