,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Santos,12.0,Flamengo,1.3939368682939302,1.1001088495181586,43.64,29.82,26.55,25.04,16.57,8.5,33.54,25.07,58.61
1,América-MG,12.0,Internacional,1.3715256236520652,1.1459661197179898,41.82,31.0,27.19,23.95,17.06,8.21,32.16,25.27,57.42999999999999
2,Fluminense,12.0,Bahia,1.1555682626006605,1.1898452138260454,35.15,36.43,28.43,21.17,21.39,9.5,30.67,30.89,61.56
3,Grêmio,12.0,Coritiba,1.6356462352341552,1.1916868954952538,47.64,27.98,24.38,24.45,13.77,6.12,30.57,19.89,50.46
4,Athletico-PR,12.0,Corinthians,1.2515071144621635,1.1974308087103112,37.92,34.77,27.31,21.86,19.93,8.69,30.549999999999997,28.619999999999997,59.169999999999995
5,Vasco,12.0,Cuiabá,1.4711043839470168,1.2602102332397198,42.3,32.25,25.45,22.02,16.55,6.38,28.4,22.93,51.33
6,Bragantino,12.0,Goiás,1.728705007339848,1.3378161466949918,47.21,29.33,23.47,22.03,13.18,4.58,26.61,17.759999999999998,44.37
7,Cruzeiro,12.0,São Paulo,1.4851964241022428,1.3392685977634375,40.88,34.08,25.05,20.32,16.99,5.98,26.3,22.97,49.269999999999996
8,Fortaleza,12.0,Atlético-MG,1.344160517362265,1.3237700426461183,37.84,36.96,25.2,19.38,19.45,6.72,26.099999999999998,26.169999999999998,52.269999999999996
9,Palmeiras,12.0,Botafogo,1.9904086365978155,1.6575736789163538,46.47,32.42,21.12,16.59,11.08,2.58,19.17,13.66,32.83
