,clube,xGA_geral
0,Atlético-MG,0.8166437365300812
1,Palmeiras,0.8754647611954876
2,Bahia,1.0518496791510086
3,Athletico-PR,1.0825749760788566
4,Cruzeiro,1.132430970004049
5,Botafogo,1.1465545266156585
6,São Paulo,1.1474537388121395
7,Corinthians,1.1574591165594805
8,Fortaleza,1.1597097727675523
9,Santos,1.215247117952336
10,Cuiabá,1.2847103117661578
11,Fluminense,1.290352295504921
12,Vasco,1.2964488285306142
13,Bragantino,1.3052252624684582
14,Internacional,1.3356891565840483
15,Flamengo,1.420181950781664
16,Goiás,1.4548366218393123
17,Coritiba,1.5526725812964763
18,América-MG,1.5882684555450457
19,Grêmio,1.7970408108447635
