,clube,xP,ranking_xp
0,Palmeiras,24.41,1
1,Atlético-MG,23.529999999999994,2
2,Fortaleza,21.98,3
3,Athletico-PR,21.52,4
4,Cruzeiro,21.439999999999998,5
5,São Paulo,20.580000000000002,6
6,Botafogo,20.120000000000005,7
7,Cuiabá,19.74,8
8,América-MG,19.69,9
9,Bragantino,19.680000000000003,10
10,Bahia,19.67,11
11,Grêmio,19.240000000000002,12
12,Vasco,17.450000000000003,13
13,Coritiba,17.18,14
14,Fluminense,17.12,15
15,Flamengo,16.66,16
16,Internacional,16.13,17
17,Santos,15.770000000000001,18
18,Goiás,15.540000000000001,19
19,Corinthians,14.52,20
