,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Fluminense,17.0,Santos,1.3225294886987964,0.9597057765387664,44.77,27.36,27.87,28.26,16.81,10.19,38.45,27.0,65.45
1,Corinthians,17.0,Vasco,1.3960192656606913,1.0290334224795548,46.04,27.7,26.26,27.75,16.06,8.52,36.269999999999996,24.58,60.849999999999994
2,América-MG,17.0,Palmeiras,1.217883292818097,1.10872823488672,38.25,34.04,27.71,23.07,20.18,9.8,32.870000000000005,29.98,62.85000000000001
3,Internacional,17.0,Cuiabá,1.3291658923525456,1.1026597876829827,41.95,30.95,27.09,24.09,17.51,8.62,32.71,26.130000000000003,58.84
4,Goiás,17.0,Grêmio,1.4573512991051267,1.204122035216207,43.02,30.96,26.02,23.24,16.29,6.96,30.2,23.25,53.45
5,São Paulo,17.0,Bahia,1.404359144435984,1.2454908204152075,40.46,33.31,26.24,21.76,17.11,6.88,28.64,23.99,52.629999999999995
6,Botafogo,17.0,Coritiba,1.5678128824486137,1.265025668344889,44.82,30.63,24.55,22.38,14.74,5.79,28.169999999999998,20.53,48.7
7,Fortaleza,17.0,Bragantino,1.4737130835698542,1.3213099878757597,40.86,34.27,24.88,20.8,17.16,6.12,26.92,23.28,50.2
8,Atlético-MG,17.0,Flamengo,1.542003782455714,1.321917498118623,42.25,32.9,24.86,20.76,16.09,5.78,26.540000000000003,21.87,48.410000000000004
9,Athletico-PR,17.0,Cruzeiro,1.5058775656094134,1.4648955690398109,38.62,36.94,24.45,18.03,17.04,5.18,23.21,22.22,45.43
