,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,39,26,7,19,15,1
1,Flamengo,27,27,18,9,8,2
2,Grêmio,27,24,20,4,10,3
3,Palmeiras,25,25,13,12,3,4
4,São Paulo,25,22,14,8,10,5
5,Fluminense,25,21,14,7,8,6
6,Bragantino,24,22,16,6,10,7
7,Fortaleza,23,16,12,4,9,8
8,Athletico-PR,23,20,18,2,7,9
9,Cruzeiro,22,16,11,5,8,10
10,Internacional,22,13,16,-3,8,11
11,Atlético-MG,21,18,14,4,3,12
12,Cuiabá,19,14,17,-3,7,13
13,Corinthians,16,12,17,-5,7,14
14,Santos,16,16,23,-7,3,15
15,Bahia,13,15,23,-8,4,16
16,Goiás,12,14,26,-12,4,17
17,Coritiba,11,14,28,-14,7,18
18,Vasco,10,11,23,-12,4,19
19,América-MG,10,16,32,-16,2,20
