,clube,P
0,Palmeiras,65.34531654106708
1,Flamengo,62.75590328243575
2,Atlético-MG,60.02792580260641
3,Botafogo,58.53267499300055
4,Athletico-PR,57.803037431401115
5,Grêmio,57.62782674498122
6,Fluminense,55.93007343351744
7,São Paulo,55.419847807120604
8,Cruzeiro,53.91852082004749
9,Internacional,53.867807620076334
10,Santos,52.3220346675194
11,Bragantino,51.05953038625941
12,Corinthians,51.05555740726938
13,Fortaleza,48.85137179076926
14,Bahia,42.121307583626354
15,Goiás,41.59851179449029
16,Vasco,40.25799718456709
17,Cuiabá,39.962166969479405
18,Coritiba,37.15027296139665
19,América-MG,30.747469860804156
