,clube,P
0,Palmeiras,64.03223556598469
1,Flamengo,61.24260525559273
2,Botafogo,60.513620570950515
3,Atlético-MG,59.92142792592049
4,Grêmio,58.15030805929938
5,Athletico-PR,56.839805236079556
6,São Paulo,56.55303322222891
7,Internacional,55.76934440699361
8,Fluminense,55.18965315464682
9,Corinthians,52.85314111073074
10,Bragantino,52.67926753023816
11,Cruzeiro,51.86552892161323
12,Fortaleza,51.070973679550065
13,Santos,50.668286697387444
14,Bahia,43.65096743958785
15,Goiás,43.58245856660466
16,Cuiabá,38.93714610085289
17,Vasco,38.56409664908951
18,Coritiba,35.50170224299713
19,América-MG,30.43807408982664
