,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,2.6,1.0,1.75,0.75,2.175,0.875,1.6,1.0,1.2999999999999998
1,Botafogo,2.0,0.2,1.5,1.5,1.75,0.85,1.8,0.0,0.9
2,Flamengo,1.6,0.8,2.25,1.5,1.925,1.15,0.8,0.75,0.7750000000000001
3,Cruzeiro,0.6,1.0,2.25,0.5,1.425,0.75,-0.4,1.75,0.675
4,São Paulo,2.5,0.75,0.8,1.2,1.65,0.975,1.75,-0.3999999999999999,0.6749999999999999
5,Fortaleza,1.4,0.6,1.0,0.5,1.2,0.55,0.7999999999999999,0.5,0.6499999999999999
6,Atlético-MG,1.5,1.0,1.4,0.6,1.45,0.8,0.5,0.7999999999999999,0.6499999999999999
7,Fluminense,1.75,0.5,1.4,1.4,1.575,0.95,1.25,0.0,0.625
8,Grêmio,1.8,1.0,1.25,1.75,1.525,1.375,0.8,-0.5,0.1499999999999999
9,Bragantino,1.6,1.2,1.5,1.75,1.55,1.475,0.40000000000000013,-0.25,0.07499999999999996
10,Santos,1.4,0.6,0.5,1.25,0.95,0.925,0.7999999999999999,-0.75,0.02499999999999991
11,Athletico-PR,1.6,1.0,0.75,1.5,1.175,1.25,0.6000000000000001,-0.75,-0.07499999999999996
12,Internacional,1.25,0.75,0.6,1.8,0.925,1.275,0.5,-1.2000000000000002,-0.34999999999999987
13,Bahia,1.5,1.75,0.6,1.4,1.05,1.575,-0.25,-0.7999999999999999,-0.5249999999999999
14,Corinthians,1.25,0.75,0.2,2.0,0.725,1.375,0.5,-1.8,-0.65
15,Cuiabá,0.75,2.0,1.0,1.2,0.875,1.6,-1.25,-0.19999999999999996,-0.7250000000000001
16,Goiás,1.25,1.75,0.6,1.8,0.925,1.775,-0.5,-1.2000000000000002,-0.8499999999999999
17,Vasco,0.75,2.25,1.0,1.4,0.875,1.825,-1.5,-0.3999999999999999,-0.95
18,América-MG,0.8,1.6,1.0,2.5,0.9,2.05,-0.8,-1.5,-1.15
19,Coritiba,0.75,1.75,1.0,2.4,0.875,2.075,-1.0,-1.4,-1.2000000000000002
