,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Fortaleza,2.5,1.5,3.0,0.0,2.75,0.75,1.0,3.0,2.0
1,Fluminense,2.0,0.0,2.5,2.0,2.25,1.0,2.0,0.5,1.25
2,São Paulo,3.0,0.0,1.0,1.5,2.0,0.75,3.0,-0.5,1.25
3,Cruzeiro,1.0,0.0,2.0,0.5,1.5,0.25,1.0,1.5,1.25
4,Botafogo,2.0,1.0,2.5,1.5,2.25,1.25,1.0,1.0,1.0
5,Palmeiras,2.0,0.5,2.0,2.0,2.0,1.25,1.5,0.0,0.75
6,Grêmio,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5
7,Internacional,1.5,0.5,1.0,1.0,1.25,0.75,1.0,0.0,0.5
8,Athletico-PR,2.0,0.0,0.5,2.0,1.25,1.0,2.0,-1.5,0.25
9,Vasco,1.0,1.5,2.0,1.0,1.5,1.25,-0.5,1.0,0.25
10,Goiás,3.0,1.0,0.0,1.5,1.5,1.25,2.0,-1.5,0.25
11,Flamengo,2.5,1.5,1.0,2.0,1.75,1.75,1.0,-1.0,0.0
12,Atlético-MG,1.5,1.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0
13,Santos,1.5,1.0,0.0,1.0,0.75,1.0,0.5,-1.0,-0.25
14,Bragantino,1.0,2.0,1.0,1.0,1.0,1.5,-1.0,0.0,-0.5
15,Bahia,1.0,2.0,1.0,1.0,1.0,1.5,-1.0,0.0,-0.5
16,Cuiabá,1.0,1.5,1.0,2.0,1.0,1.75,-0.5,-1.0,-0.75
17,Corinthians,1.0,1.0,0.5,2.5,0.75,1.75,0.0,-2.0,-1.0
18,Coritiba,0.5,2.0,0.0,3.0,0.25,2.5,-1.5,-3.0,-2.25
19,América-MG,0.0,3.0,1.0,3.0,0.5,3.0,-3.0,-2.0,-2.5
