,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,82.43166666666666,1,78.97666666666666,3,53.02333333333333,7
1,Flamengo,75.08666666666666,2,84.05,2,55.791666666666664,5
2,Botafogo,74.99833333333333,3,92.89,1,59.595,3
3,Athletico-PR,67.33333333333333,4,71.39333333333333,5,48.85833333333333,13
4,Grêmio,65.395,5,74.14,4,45.971666666666664,14
5,Cuiabá,60.29500000000001,6,50.17000000000001,16,54.42666666666667,6
6,Internacional,58.685,7,60.02833333333333,11,49.135,12
7,Palmeiras,56.06,8,62.538333333333334,8,68.115,2
8,Fortaleza,54.9,9,65.975,6,49.56666666666666,11
9,Corinthians,52.935,10,53.68166666666667,14,37.87833333333334,20
10,Bahia,52.80166666666667,11,57.87833333333333,12,52.29333333333333,8
11,Goiás,49.018333333333324,12,52.42333333333334,15,43.056666666666665,17
12,Cruzeiro,48.803333333333335,13,42.51500000000001,20,78.07833333333333,1
13,Atlético-MG,48.335,14,57.731666666666676,13,57.196666666666665,4
14,São Paulo,47.973333333333336,15,65.76,7,45.32833333333334,15
15,América-MG,46.675000000000004,16,45.405,18,45.145,16
16,Coritiba,46.63666666666666,17,47.50333333333333,17,42.51,18
17,Fluminense,44.80666666666667,18,60.211666666666666,10,49.64166666666667,10
18,Santos,41.163333333333334,19,61.495,9,50.150000000000006,9
19,Vasco,39.05833333333333,20,43.94833333333333,19,40.055,19
