,clube,ranking_clube,fase
0,Cruzeiro,4,80.0
1,Botafogo,1,80.0
2,Palmeiras,2,73.33
3,Fluminense,3,66.67
4,Santos,7,66.67
5,Atlético-MG,6,66.67
6,São Paulo,10,60.0
7,Fortaleza,8,60.0
8,Athletico-PR,5,60.0
9,Bahia,14,40.0
10,Internacional,12,40.0
11,Goiás,15,40.0
12,Flamengo,9,40.0
13,Grêmio,11,33.33
14,Bragantino,13,26.67
15,Cuiabá,18,26.67
16,Vasco,16,20.0
17,Coritiba,19,13.33
18,Corinthians,17,13.33
19,América-MG,20,6.67
