,clube,xG_mean,xG_total
0,Palmeiras,1.5684149052608929,17.252563957869807
1,Fortaleza,1.55712720805766,17.128399288634252
2,Cruzeiro,1.555488628123485,17.110374909358335
3,Grêmio,1.5460845889106956,17.006930478017633
4,Bragantino,1.4058822646944151,15.464704911638577
5,Bahia,1.391651935535152,15.308171290886676
6,Botafogo,1.3905408774698258,15.295949652168089
7,Flamengo,1.3873600722827701,15.260960795110476
8,São Paulo,1.3798989291528527,15.17888822068138
9,Fluminense,1.247018930300201,13.717208233302205
10,Atlético-MG,1.2379593791112884,13.617553170224175
11,América-MG,1.2004207279708419,13.204628007679258
12,Athletico-PR,1.1967232345091192,13.16395557960031
13,Cuiabá,1.1846942713239357,13.031636984563294
14,Vasco,1.1220543223770174,12.342597546147196
15,Corinthians,1.1152670709011134,12.267937779912243
16,Internacional,1.091729342869954,12.009022771569498
17,Goiás,1.06919942349363,11.761193658429924
18,Coritiba,1.0284829841902643,11.313312826092911
19,Santos,0.9564154993203573,10.52057049252393
