,clube,ranking_clube,fase
0,Botafogo,1,86.67
1,Grêmio,2,80.0
2,Cuiabá,12,66.67
3,Athletico-PR,5,66.67
4,Coritiba,18,66.67
5,Flamengo,3,60.0
6,Bragantino,8,53.33
7,Cruzeiro,11,53.33
8,Fluminense,7,46.67
9,São Paulo,6,46.67
10,Corinthians,15,46.67
11,Internacional,10,40.0
12,Fortaleza,9,40.0
13,Palmeiras,4,40.0
14,Goiás,16,26.67
15,Santos,14,26.67
16,Vasco,20,20.0
17,América-MG,19,13.33
18,Atlético-MG,13,13.33
19,Bahia,17,13.33
