,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,19.283685234626645,11.144257927518826,8.13942730710782
1,Cruzeiro,18.87210812180097,13.126083011126266,5.7460251106747045
2,Atlético-MG,15.596807853965792,11.075289942866457,4.521517911099336
3,Bragantino,18.095566538775337,14.647450572712868,3.4481159660624687
4,Fortaleza,17.946960348674544,15.612231052261258,2.334729296413286
5,Athletico-PR,16.03303053034082,13.864715765065988,2.1683147652748325
6,São Paulo,16.048696897004625,14.55669136621901,1.4920055307856153
7,Bahia,15.258222479223253,14.034478892688435,1.2237435865348179
8,Botafogo,15.143976117987922,14.471089657861974,0.6728864601259481
9,Grêmio,19.74045574757308,19.393392062374744,0.34706368519833575
10,Cuiabá,14.139622049198987,14.95176470530761,-0.8121426561086231
11,Vasco,13.417751186239581,15.225902336243422,-1.808151150003841
12,Santos,11.951086987008713,14.399899728069082,-2.448812741060369
13,Fluminense,15.499545829798954,18.122328015473986,-2.6227821856750317
14,Corinthians,12.845725784057668,15.718789082762754,-2.8730632987050857
15,Coritiba,14.006795247185476,17.183990320589498,-3.1771950734040217
16,América-MG,14.858021354774682,18.229487600387188,-3.371466245612506
17,Flamengo,15.618748825082292,19.118642284616705,-3.4998934595344124
18,Internacional,12.930586676051565,16.738585564909677,-3.807998888858112
19,Goiás,12.278113219685244,17.950437140000403,-5.67232392031516
