,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,75.860625,1,88.70875,1,63.0125,3
1,Flamengo,67.91000000000001,2,81.75875,2,54.06125000000001,7
2,Bragantino,64.79015873015872,3,77.25888888888888,3,52.32142857142857,9
3,Palmeiras,64.364375,4,60.82874999999999,11,67.9,2
4,Athletico-PR,63.33562500000001,5,77.09875000000001,4,49.572500000000005,11
5,Cruzeiro,62.936349206349206,6,51.605555555555554,17,74.26714285714286,1
6,São Paulo,60.02187500000001,7,72.87500000000001,5,47.16875000000001,14
7,Fluminense,59.231249999999996,8,62.178749999999994,9,56.28375,5
8,Grêmio,59.185833333333335,9,72.4,6,45.97166666666667,17
9,Fortaleza,58.60312500000001,10,64.14250000000001,7,53.06375000000001,8
10,Santos,55.706746031746036,11,64.01777777777778,8,47.39571428571429,12
11,Atlético-MG,55.382063492063494,12,54.26857142857143,14,56.495555555555555,4
12,Internacional,55.22253968253969,13,60.85285714285716,10,49.59222222222222,10
13,Cuiabá,52.97875,14,50.379999999999995,18,55.5775,6
14,Coritiba,52.012499999999996,15,56.89125,13,47.13374999999999,15
15,Bahia,51.704375,16,57.26250000000001,12,46.146249999999995,16
16,Corinthians,50.45583333333333,17,53.681666666666665,16,47.230000000000004,13
17,Goiás,48.95253968253968,18,54.082857142857144,15,43.822222222222216,19
18,América-MG,43.83580357142857,19,43.42285714285715,19,44.24875,18
19,Vasco,41.957232142857144,20,40.78875,20,43.12571428571429,20
