,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Botafogo,84.14666666666668,1,92.34500000000001,1,63.30500000000001,2
1,Bragantino,79.7,2,89.75833333333334,2,55.768333333333324,7
2,Flamengo,67.37333333333333,3,84.05,3,57.445000000000014,6
3,Athletico-PR,65.22333333333333,4,78.63,4,47.93,14
4,Grêmio,64.52,5,70.86666666666666,5,45.971666666666664,17
5,Coritiba,62.25833333333333,6,53.565,15,50.62,8
6,Goiás,59.05666666666665,7,52.23833333333332,16,46.40333333333333,15
7,Cruzeiro,56.93333333333334,8,47.18333333333334,18,79.31833333333334,1
8,São Paulo,56.22833333333333,9,67.63333333333334,6,48.11000000000001,13
9,Palmeiras,54.85666666666666,10,58.22666666666667,11,62.585,4
10,Cuiabá,54.73166666666666,11,49.423333333333325,17,57.91833333333332,5
11,Internacional,52.13999999999999,12,58.92000000000001,10,44.66166666666666,18
12,Fluminense,52.096666666666664,13,60.629999999999995,9,49.64166666666666,9
13,América-MG,51.36500000000001,14,45.405,19,46.10833333333334,16
14,Corinthians,51.24333333333334,15,53.68166666666667,14,48.586666666666666,12
15,Fortaleza,50.971666666666664,16,62.88333333333333,8,49.56666666666666,10
16,Bahia,46.69166666666667,17,57.87833333333333,12,39.81666666666666,20
17,Atlético-MG,45.096666666666664,18,54.405,13,62.978333333333325,3
18,Santos,42.311666666666675,19,63.495000000000005,7,48.64000000000001,11
19,Vasco,40.42166666666667,20,41.84,20,40.055,19
