,atleta_id,apelido,clube_id,xG,clube
173,83433,Patrick,282,0.7883405740313175,Atlético-MG
174,109591,Andrey Santos,267,0.7876891956511273,Vasco
175,105584,Lucas Piton,267,0.7869969855229145,Vasco
176,73384,Samuel Xavier,266,0.786530541491548,Fluminense
177,81845,Alisson,276,0.786479903621679,São Paulo
178,51042,Apodi,290,0.783966609088306,Goiás
179,111891,Guilherme Biro,264,0.769230306623268,Corinthians
180,86391,Sander,290,0.7635003855519122,Goiás
181,68923,Gil,264,0.7592428348539053,Corinthians
182,68952,Marinho,356,0.7428492762628235,Fortaleza
183,80076,Zé Roberto,294,0.7426706097695339,Coritiba
184,91664,Adryelson,263,0.737069255353912,Botafogo
185,87742,Neto Moura,283,0.7145561793851014,Cruzeiro
186,111771,Arthur Sales,265,0.7055914571666485,Bahia
187,100084,Igor Gomes,282,0.7013043161679917,Atlético-MG
188,109573,Martinelli,266,0.6995244201186868,Fluminense
189,94154,Maycon,264,0.6976892293563849,Corinthians
190,111652,Rodrigo Varanda,327,0.6967261942189511,América-MG
191,91706,Marlon,283,0.6959991649242949,Cruzeiro
192,90061,Bruno Pacheco,356,0.6944130153340106,Fortaleza
193,93550,Benítez,327,0.6928626076242378,América-MG
194,107111,Richard Ríos,275,0.6910248247216083,Palmeiras
195,89275,William,283,0.6883089025933229,Cruzeiro
196,98605,Di Placido,263,0.6832754345731371,Botafogo
197,91573,Arboleda,276,0.682878651372326,São Paulo
198,106831,Juan,276,0.6809281061443508,São Paulo
199,97900,Vitão,285,0.6804094742002669,Internacional
200,87853,Mauricio Lemos,282,0.6789618755269071,Atlético-MG
201,82455,Zé Rafael,275,0.671322804463071,Palmeiras
202,95662,Lucas Kal,327,0.663922205980009,América-MG
203,115239,Wesley,262,0.6626144091941838,Flamengo
204,87225,Pedro Henrique,293,0.6508653835750193,Athletico-PR
205,102878,Terans,293,0.6490417990514716,Athletico-PR
206,90540,Diego Gonçalves,290,0.6430026825199096,Goiás
207,37865,Bruno Mezenga,277,0.6379328838293101,Santos
208,117403,Renato Marques,327,0.6361045377753114,América-MG
209,81091,Jair,267,0.6352137867149144,Vasco
210,69375,Vidal,262,0.6317201760873127,Flamengo
211,112370,Emerson Ramon,1371,0.6297178331751868,Cuiabá
212,79188,Silvio Romero,356,0.6278368008023695,Fortaleza
213,110727,Rubens,282,0.6269343661326527,Atlético-MG
214,101995,Brítez,356,0.6267898493402136,Fortaleza
215,81952,Willian Oliveira,290,0.6247860580026035,Goiás
216,68895,Wellington Silva,1371,0.611282979345861,Cuiabá
217,102299,Mikael,327,0.5916245288879255,América-MG
218,102096,Anderson Oliveira,290,0.5915149746102428,Goiás
219,122420,Lucca,285,0.5884253815302931,Internacional
220,121792,André,284,0.5867779108565225,Grêmio
221,98619,Kuscevic,294,0.5862654640737444,Coritiba
222,102911,Zé Ricardo,290,0.579588092306875,Goiás
223,108528,Galarza,267,0.5729949167065549,Vasco
224,73479,Jean Dias,285,0.5636850416218258,Internacional
225,123022,Pedro,264,0.5624902570331393,Corinthians
226,91689,Matheus Jussa,283,0.5623156947791818,Cruzeiro
227,86711,Richard Coelho,283,0.5614152254735225,Cruzeiro
228,96678,Bustos,285,0.5600481836563519,Internacional
229,110415,Ângelo,277,0.5598165164244592,Santos
230,99889,Alan Franco,276,0.552124653383066,São Paulo
231,110055,Segovia,263,0.5519090239963143,Botafogo
232,86485,Keno,266,0.5498901041693776,Fluminense
233,121184,Erick Marcus,267,0.5438812319731761,Vasco
234,68991,Lucas Sasha,356,0.5410244981324435,Fortaleza
235,42116,Willian,293,0.5361886463591976,Athletico-PR
236,83528,Léo Pereira,262,0.5334282698241605,Flamengo
237,51772,Everton Ribeiro,262,0.5302657990336491,Flamengo
238,85465,Alex Santana,293,0.5244940037786683,Athletico-PR
239,78715,Ramiro,283,0.5237200614762203,Cruzeiro
240,88033,Alan Empereur,1371,0.5232549994314504,Cuiabá
241,116461,Jamerson,294,0.5175489715861343,Coritiba
242,103388,Emmanuel Martínez,327,0.5167980773438936,América-MG
243,104640,Matheus Bianqui,294,0.5151074235491458,Coritiba
244,93886,Matheusinho,327,0.507067082690639,América-MG
245,99214,Rodrigo Fernández,277,0.5048475579663934,Santos
246,105531,Matheus Bidu,264,0.5015011154207717,Corinthians
247,108715,João Magno,290,0.5003983580367789,Goiás
