,clube,xP,ranking_xp
0,Palmeiras,19.339999999999996,1
1,Cruzeiro,18.509999999999998,2
2,Atlético-MG,17.75,3
3,Fortaleza,17.4,4
4,Botafogo,16.85,5
5,Bahia,16.84,6
6,São Paulo,15.66,7
7,Bragantino,15.65,8
8,Cuiabá,15.059999999999999,9
9,Athletico-PR,14.89,10
10,Corinthians,14.7,11
11,Grêmio,14.440000000000001,12
12,Vasco,14.39,13
13,Flamengo,13.54,14
14,América-MG,13.509999999999998,15
15,Fluminense,13.34,16
16,Coritiba,13.19,17
17,Internacional,12.98,18
18,Santos,12.67,19
19,Goiás,11.500000000000002,20
