,clube,ranking_clube,fase
0,Flamengo,5,86.67
1,Atlético-MG,3,86.67
2,Grêmio,4,66.67
3,Fluminense,6,60.0
4,Botafogo,1,60.0
5,Palmeiras,2,60.0
6,Athletico-PR,7,60.0
7,Bragantino,11,53.33
8,Santos,12,53.33
9,São Paulo,8,53.33
10,Cuiabá,14,46.67
11,América-MG,18,46.67
12,Fortaleza,9,40.0
13,Goiás,17,26.67
14,Corinthians,16,26.67
15,Internacional,13,26.67
16,Cruzeiro,10,26.67
17,Bahia,15,13.33
18,Coritiba,20,13.33
19,Vasco,19,6.67
