,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Cuiabá,8.0,Coritiba,1.3791457835661376,1.0227767725300052,44.89,27.46,27.65,26.96,15.93,9.4,36.36,25.33,61.69
1,Corinthians,8.0,Fluminense,1.5507715522636774,1.121825403451124,47.39,27.1,25.51,26.46,14.04,7.08,33.54,21.119999999999997,54.66
2,Athletico-PR,8.0,Grêmio,1.7511322641494749,1.1463954956578317,51.41,25.15,23.43,26.02,11.88,5.52,31.54,17.4,48.94
3,São Paulo,8.0,Goiás,1.379475342534786,1.2137726745662123,40.22,32.52,27.27,21.87,17.36,7.87,29.740000000000002,25.23,54.97
4,Internacional,8.0,Bahia,1.3176437995081067,1.2901469777000352,37.71,36.23,26.05,20.32,19.13,7.42,27.740000000000002,26.549999999999997,54.29
5,Atlético-MG,8.0,Palmeiras,1.3038027346365424,1.4183004350826771,33.94,40.44,25.62,17.07,20.95,6.58,23.65,27.53,51.18
6,Bragantino,8.0,Santos,1.5656541693044823,1.3710731645530065,41.88,33.3,24.81,20.06,15.58,5.57,25.63,21.15,46.78
7,Flamengo,8.0,Cruzeiro,1.3695305546775183,1.541216321731278,34.67,40.62,24.71,16.28,19.82,5.38,21.66,25.2,46.86
8,Botafogo,8.0,América-MG,1.6633863966992846,1.4906993864735583,42.07,34.08,23.86,18.34,14.27,4.31,22.65,18.58,41.23
9,Fortaleza,8.0,Vasco,1.996181270108047,1.527836959272269,48.6,29.84,21.55,18.62,10.52,3.04,21.66,13.559999999999999,35.22
