,clube,P
0,Palmeiras,63.26545235772609
1,Flamengo,61.56631505183438
2,Atlético-MG,61.05245686436132
3,Grêmio,58.63020351268125
4,Athletico-PR,58.476702801243576
5,São Paulo,57.368860494601044
6,Botafogo,57.3056500428875
7,Fluminense,56.164601389199106
8,Cruzeiro,54.09475429681803
9,Internacional,52.8300808929729
10,Santos,52.426485596578935
11,Corinthians,51.20471170990092
12,Bragantino,50.836454683513736
13,Fortaleza,49.81051145184529
14,Bahia,42.668780998257766
15,Goiás,42.11897042465322
16,Vasco,41.139424827244866
17,Cuiabá,39.94812993991362
18,Coritiba,37.8022710154613
19,América-MG,30.789598064809606
