,clube,ranking_clube,fase
0,Santos,14,
1,Bragantino,12,
2,Internacional,8,
3,Flamengo,17,
4,Cuiabá,13,
5,Palmeiras,2,
6,Cruzeiro,3,
7,Coritiba,19,
8,Botafogo,1,
9,Fortaleza,4,
10,Bahia,9,
11,América-MG,20,
12,Athletico-PR,10,
13,Goiás,18,
14,Atlético-MG,16,
15,Grêmio,7,
16,Fluminense,6,
17,Vasco,11,
18,Corinthians,15,
19,São Paulo,5,
