,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,75.73347222222225,1,88.45444444444448,1,63.0125,3
1,Bragantino,68.52319444444444,2,77.25888888888888,3,59.7875,4
2,Flamengo,67.90159722222222,3,81.75875,2,54.04444444444445,8
3,Palmeiras,66.229375,4,60.82875,9,71.63,2
4,Athletico-PR,62.91902777777777,5,76.26555555555555,4,49.5725,12
5,Cruzeiro,62.80152777777778,6,51.60555555555555,16,73.9975,1
6,São Paulo,59.894375,7,72.62,5,47.168749999999996,14
7,Fluminense,59.87465277777777,8,63.46555555555555,8,56.28375,7
8,Grêmio,58.93357142857143,9,72.4,6,45.46714285714286,17
9,Fortaleza,56.621319444444445,10,60.17888888888889,10,53.06375,9
10,Atlético-MG,55.42652777777778,11,54.35750000000001,15,56.495555555555555,6
11,Santos,54.85138888888889,12,64.01777777777778,7,45.685,16
12,Bahia,54.11625,13,57.2625,12,50.97,10
13,Cuiabá,53.75888888888889,14,50.379999999999995,18,57.13777777777778,5
14,Internacional,53.6554861111111,15,57.71875,11,49.59222222222221,11
15,Coritiba,52.01840277777777,16,56.89125,13,47.145555555555546,15
16,Corinthians,51.71857142857143,17,56.20714285714286,14,47.23,13
17,Goiás,47.67923611111111,18,51.53625,17,43.82222222222222,19
18,América-MG,43.303749999999994,19,42.35875,19,44.248749999999994,18
19,Vasco,42.186875,20,40.78875,20,43.585,20
