,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,30,20,7,13,12,1
1,Grêmio,23,22,17,5,12,2
2,Palmeiras,22,22,10,12,7,3
3,Flamengo,22,24,17,7,10,4
4,Fluminense,21,19,13,6,8,5
5,Bragantino,20,21,14,7,10,6
6,Fortaleza,20,15,9,6,10,7
7,Internacional,20,13,14,-1,13,8
8,Atlético-MG,19,16,11,5,6,9
9,Athletico-PR,19,16,15,1,7,10
10,São Paulo,18,17,13,4,6,11
11,Cruzeiro,17,15,11,4,5,12
12,Santos,13,11,13,-2,2,13
13,Corinthians,12,11,16,-5,7,14
14,Bahia,12,13,18,-5,5,15
15,Cuiabá,12,9,16,-7,5,16
16,Goiás,11,10,20,-10,4,17
17,Vasco,9,11,20,-9,3,18
18,América-MG,8,13,27,-14,4,19
19,Coritiba,4,9,26,-17,2,20
