,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral,xG_G_comp
0,América-MG,1.6101263862893316,1.9780536152000467,1.651130815921416,1.4930531915944232,1.6306286011053737,1.735553403397235,-0.36792722891071517,0.1580776243269928,-0.10492480229186141,0.0,3.0,1.0,3.0,0.5,3.0,-3.0,-2.0,-2.5,1.1306286011053737
1,Coritiba,1.7442532728425602,1.8070671330276566,0.7273592917282008,0.9839690436456964,1.2358062822853806,1.3955180883366765,-0.06281386018509649,-0.2566097519174956,-0.15971180605129587,0.5,2.0,0.0,3.0,0.25,2.5,-1.5,-3.0,-2.25,0.9858062822853806
2,Santos,1.0948930457016437,1.165331078428394,1.9477764347028232,1.7007155470753186,1.5213347402022335,1.4330233127518563,-0.0704380327267502,0.24706088762750467,0.08831142745037712,1.5,1.0,0.0,1.0,0.75,1.0,0.5,-1.0,-0.25,0.7713347402022335
3,Atlético-MG,1.83751111410076,0.6093282106068221,0.9465392654658543,0.632419653406986,1.3920251897833071,0.6208739320069041,1.228182903493938,0.3141196120588683,0.771151257776403,1.5,1.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.6420251897833071
4,Grêmio,1.7007155470753186,1.9477764347028232,1.2001138462144882,1.6930517041905784,1.4504146966449034,1.8204140694467008,-0.24706088762750467,-0.49293785797609013,-0.3699993728017974,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.4504146966449034
5,Bahia,1.690794789557275,0.49462162784623664,1.1786052214562357,1.3246573546315346,1.4347000055067554,0.9096394912388857,1.1961731617110383,-0.14605213317529886,0.5250605142678697,1.0,2.0,1.0,1.0,1.0,1.5,-1.0,0.0,-0.5,0.43470000550675536
6,Internacional,1.7194317674803958,1.3710886553667896,1.278098276368607,2.242378885804419,1.4987650219245015,1.8067337705856044,0.34834311211360625,-0.9642806094358121,-0.3079687486611029,1.5,0.5,1.0,1.0,1.25,0.75,1.0,0.0,0.5,0.24876502192450145
7,Cruzeiro,2.1189265625336873,1.0963241788702798,1.02591272871448,0.9609222568963531,1.5724196456240835,1.0286232178833163,1.0226023836634075,0.0649904718181269,0.5437964277407672,1.0,0.0,2.0,0.5,1.5,0.25,1.0,1.5,1.25,0.07241964562408354
8,Flamengo,2.11685906179509,1.1147029608071768,1.4764537496988301,1.7640451749795059,1.79665640574696,1.4393740678933413,1.0021561009879134,-0.2875914252806757,0.35728233785361874,2.5,1.5,1.0,2.0,1.75,1.75,1.0,-1.0,0.0,0.04665640574696006
9,Cuiabá,1.245903561857947,0.9888062122067247,0.8003842393298706,1.7228327299770487,1.023143900593909,1.3558194710918867,0.25709734965122233,-0.9224484906471782,-0.3326755704979778,1.0,1.5,1.0,2.0,1.0,1.75,-0.5,-1.0,-0.75,0.023143900593908917
