,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,77.42083333333333,1,70.99666666666667,7,83.845,1
1,Fluminense,75.21916666666668,2,66.82500000000002,9,83.61333333333334,2
2,Botafogo,74.90833333333333,3,82.81666666666668,4,67.0,6
3,Fortaleza,74.79916666666668,4,69.35333333333334,8,80.245,4
4,São Paulo,73.39166666666667,5,88.6,1,58.18333333333333,7
5,Cruzeiro,71.99916666666667,6,60.48333333333333,10,83.51500000000001,3
6,Flamengo,64.375,7,84.83999999999999,3,43.91,15
7,Santos,63.052499999999995,8,85.13999999999999,2,40.965,17
8,Atlético-MG,62.288333333333334,9,52.75,15,71.82666666666667,5
9,Athletico-PR,60.72916666666666,10,72.505,6,48.953333333333326,12
10,Grêmio,58.517500000000005,11,75.06500000000001,5,41.97,16
11,Bahia,54.1525,12,53.355000000000004,12,54.949999999999996,8
12,Internacional,53.69499999999999,13,55.79,11,51.599999999999994,9
13,Vasco,47.340833333333336,14,44.455,17,50.22666666666667,10
14,Bragantino,46.185833333333335,15,43.71666666666666,18,48.655,13
15,Goiás,43.53333333333333,16,53.14,13,33.92666666666667,19
16,Cuiabá,42.0275,17,35.5,19,48.555,14
17,Corinthians,41.845,18,53.03,14,30.659999999999997,20
18,Coritiba,41.3325,19,45.99000000000001,16,36.675,18
19,América-MG,41.009166666666665,20,32.455,20,49.56333333333333,11
