,clube,ranking_clube,fase
0,Botafogo,1,80.0
1,Grêmio,2,80.0
2,Flamengo,3,80.0
3,Internacional,8,73.33
4,Bragantino,5,66.67
5,Athletico-PR,9,53.33
6,Fluminense,6,53.33
7,Palmeiras,4,46.67
8,Fortaleza,11,46.67
9,Cuiabá,13,46.67
10,Atlético-MG,10,40.0
11,São Paulo,7,40.0
12,América-MG,19,33.33
13,Cruzeiro,12,33.33
14,Bahia,15,33.33
15,Corinthians,16,26.67
16,Goiás,17,26.67
17,Coritiba,20,26.67
18,Vasco,18,20.0
19,Santos,14,13.33
