,clube,P
0,Palmeiras,62.61855719239724
1,Flamengo,60.309420916661374
2,Atlético-MG,59.00773044502203
3,São Paulo,58.41100449399412
4,Botafogo,58.047077740446056
5,Athletico-PR,57.59066477116883
6,Grêmio,57.452011435206494
7,Cruzeiro,56.019418463093686
8,Fluminense,54.900189065705476
9,Santos,53.34113000846046
10,Corinthians,53.04873732424085
11,Internacional,52.77053050259484
12,Bragantino,51.86873301721605
13,Fortaleza,50.68823700402834
14,Goiás,43.256499324581284
15,Bahia,42.56782525801372
16,Vasco,42.24970019610899
17,Coritiba,38.313206916786626
18,Cuiabá,37.80912072052034
19,América-MG,28.66883961185349
