,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Cruzeiro,Santos,42.016806722689076,39.0625,21.978021978021978,2.38,2.56,4.55
1,São Paulo,Internacional,40.0,38.02281368821293,25.0,2.5,2.63,4.0
2,Fluminense,Vasco,44.052863436123346,39.0625,20.0,2.27,2.56,5.0
3,Bahia,Coritiba,40.98360655737705,39.0625,22.98850574712644,2.44,2.56,4.35
4,Grêmio,Bragantino,40.0,40.98360655737705,21.978021978021978,2.5,2.44,4.55
5,Goiás,Palmeiras,19.011406844106464,40.98360655737705,42.91845493562232,5.26,2.44,2.33
6,Athletico-PR,Flamengo,25.0,42.016806722689076,35.97122302158274,4.0,2.38,2.78
7,Botafogo,Atlético-MG,32.05128205128205,40.0,30.959752321981426,3.12,2.5,3.23
8,América-MG,Cuiabá,42.016806722689076,40.0,21.008403361344538,2.38,2.5,4.76
9,Corinthians,Fortaleza,38.02281368821293,38.02281368821293,27.027027027027025,2.63,2.63,3.7
