,clube,P
0,Palmeiras,63.569175117151644
1,Athletico-PR,60.15881069481698
2,Flamengo,58.53738155295792
3,Atlético-MG,57.19980210577267
4,Botafogo,57.07768848511294
5,São Paulo,56.77589362691289
6,Cruzeiro,55.663910120275204
7,Fluminense,55.313594437920685
8,Grêmio,55.23667874836754
9,Corinthians,53.852334058539846
10,Santos,53.64852026828929
11,Internacional,53.61816026489798
12,Fortaleza,50.63232686317957
13,Bragantino,49.09376609678742
14,Vasco,45.46981356524111
15,Bahia,45.39807508598477
16,Goiás,42.462038390047226
17,Coritiba,40.517107377314275
18,Cuiabá,36.65964016215273
19,América-MG,28.508331119271684
