,clube,ranking_clube,fase
0,Botafogo,1,86.67
1,Cuiabá,9,86.67
2,Coritiba,18,66.67
3,Grêmio,4,66.67
4,Flamengo,2,60.0
5,Palmeiras,3,60.0
6,Bragantino,6,53.33
7,Athletico-PR,7,53.33
8,São Paulo,8,53.33
9,Corinthians,14,46.67
10,Fluminense,5,46.67
11,Cruzeiro,10,40.0
12,Goiás,16,33.33
13,Santos,15,26.67
14,Bahia,17,20.0
15,Fortaleza,11,20.0
16,Vasco,20,20.0
17,Internacional,12,20.0
18,Atlético-MG,13,13.33
19,América-MG,19,13.33
