,clube,ranking_clube,fase
0,Flamengo,3,86.67
1,Atlético-MG,4,73.33
2,Grêmio,6,66.67
3,Botafogo,1,60.0
4,Palmeiras,2,60.0
5,Bragantino,12,53.33
6,Cuiabá,14,53.33
7,Internacional,10,46.67
8,América-MG,18,46.67
9,São Paulo,8,46.67
10,Fluminense,5,46.67
11,Athletico-PR,7,46.67
12,Santos,13,40.0
13,Cruzeiro,9,33.33
14,Fortaleza,11,33.33
15,Corinthians,16,33.33
16,Goiás,17,33.33
17,Bahia,15,20.0
18,Coritiba,20,13.33
19,Vasco,19,0.0
