,clube,P
0,Palmeiras,60.72583791402525
1,Flamengo,58.90874248260244
2,Grêmio,57.12080245001534
3,Athletico-PR,56.886388832345794
4,Cruzeiro,56.4789553949358
5,Atlético-MG,56.36374848502148
6,Corinthians,56.334297266521396
7,Internacional,56.31575581746546
8,São Paulo,55.8327871635969
9,Botafogo,54.084053843669516
10,Fluminense,54.07651663858136
11,Santos,53.64228699774212
12,Fortaleza,51.06031418146661
13,Bragantino,50.53748998312104
14,Vasco,45.359476534354926
15,Bahia,44.98576611755489
16,Goiás,44.65157633716541
17,Coritiba,42.100427603879474
18,Cuiabá,36.16334683269014
19,América-MG,28.75162699215558
