,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,73.56433333333334,1,86.352,1,60.776666666666664,6
1,Cruzeiro,71.57125,2,55.4525,14,87.69000000000001,1
2,Fortaleza,69.8675,3,73.3475,5,66.3875,3
3,Palmeiras,69.7725,4,68.685,9,70.85999999999999,2
4,Santos,69.58,5,82.67249999999999,3,56.487500000000004,7
5,Fluminense,69.09766666666667,6,72.99333333333335,6,65.202,5
6,São Paulo,67.98625,7,83.935,2,52.0375,9
7,Atlético-MG,64.0175,8,61.915,12,66.12,4
8,Flamengo,63.88666666666666,9,76.02,4,51.75333333333333,10
9,Grêmio,58.004999999999995,10,72.6925,7,43.3175,16
10,Athletico-PR,56.545,11,69.20250000000001,8,43.887499999999996,15
11,Bragantino,55.811,12,65.402,10,46.22,13
12,Internacional,55.45125,13,63.365,11,47.5375,12
13,Bahia,51.3175,14,54.96000000000001,15,47.675,11
14,Cuiabá,45.9625,15,39.415,19,52.51,8
15,Corinthians,45.92125,16,60.175,13,31.6675,20
16,Vasco,44.16233333333333,17,42.32666666666666,18,45.998,14
17,Goiás,42.69366666666666,18,51.61333333333332,16,33.774,19
18,Coritiba,40.3925,19,43.81999999999999,17,36.965,18
19,América-MG,38.38875,20,36.5225,20,40.254999999999995,17
