,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,19.990856525782153,13.785852986109814,6.205003539672338
1,Fortaleza,20.96105101809318,16.143712878418285,4.817338139674895
2,Bragantino,17.954815148487928,13.831741543784702,4.123073604703226
3,Atlético-MG,16.7294581436456,12.725878732165636,4.003579411479965
4,Cruzeiro,18.75914902606401,14.9196203658041,3.8395286602599086
5,Athletico-PR,18.58198379223018,15.60786343270297,2.974120359527209
6,São Paulo,17.247777343997996,14.869527259347802,2.378250084650194
7,Bahia,17.81257525092755,16.021762141152298,1.7908131097752538
8,Botafogo,17.062414662874374,15.428512301923874,1.6339023609505006
9,Cuiabá,14.771674489216103,14.993583086963536,-0.22190859774743288
10,Grêmio,20.656291525646257,20.972463016861724,-0.31617149121546717
11,Corinthians,12.739704319633999,15.404514360645639,-2.6648100410116395
12,América-MG,16.255536209027333,19.008018179276227,-2.752481970248894
13,Fluminense,16.087640536243313,18.968628530765933,-2.88098799452262
14,Flamengo,17.767570270992863,20.908026176192926,-3.1404559052000636
15,Santos,12.818398722441337,16.044033434693926,-3.225634712252589
16,Vasco,13.948535457080006,17.541598139679955,-3.5930626825999497
17,Coritiba,15.52406491979611,19.404444227862676,-3.8803793080665656
18,Internacional,13.883416218553077,17.93477199590896,-4.051355777355884
19,Goiás,14.636563144247217,19.6749239347196,-5.0383607904723835
